Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Transformer.T_FF1105,    2.85969,   -24.83,    2.85968,  -144.83,    2.85969,    95.17, 1.5116E-006,  -174.28, 1.09871E-012,   -61.20,    103.852,   155.17,    103.852,    35.17,    103.852,   -84.83, 5.48948E-005,     5.72, 3.9008E-011,   -62.02
Transformer.T_FX9334,    5.49635,   -25.04,    5.49634,  -145.03,    5.49635,    94.96, 4.05275E-006,  -173.52, 2.98138E-012,   -62.15,    199.604,   154.97,    199.604,    34.97,    199.604,   -85.03, 0.000147179,     6.48, 1.0626E-010,   -63.43
Transformer.T_FX9343,   0.508355,   -24.83,   0.508355,  -144.83,   0.508355,    95.17, 2.68959E-007,  -174.37, 1.9635E-013,   -61.35,    18.4613,   155.17,    18.4613,    35.17,    18.4613,   -84.83, 9.76746E-006,     5.63, 7.01849E-012,   -61.98
Transformer.T_FT7045,   0.490778,   -25.01,   0.490778,  -145.01,   0.490778,    94.99, 3.56963E-007,  -173.45, 2.59088E-013,   -61.77,     17.823,   154.99,     17.823,    34.99,     17.823,   -85.01, 1.29634E-005,     6.55, 9.29186E-012,   -62.89
Transformer.T_FZ0191,   0.381256,   -24.83,   0.381256,  -144.83,   0.381256,    95.17, 2.01757E-007,  -174.35, 1.49215E-013,   -61.76,    13.8456,   155.17,    13.8456,    35.17,    13.8456,   -84.83, 7.32695E-006,     5.65, 5.16691E-012,   -63.72
Transformer.T_FT2704,     2.7593,   -25.01,    2.75929,  -145.01,     2.7593,    94.99, 2.01108E-006,  -173.46, 1.48295E-012,   -61.84,    100.206,   154.99,    100.206,    34.99,    100.206,   -85.01, 7.30338E-005,     6.54, 5.22722E-011,   -62.54
Transformer.T_FT6782,     1.1009,   -25.03,     1.1009,  -145.03,     1.1009,    94.97, 8.14503E-007,  -173.38, 6.01558E-013,   -62.00,    39.9801,   154.97,    39.9801,    34.97,    39.9801,   -85.03, 2.95793E-005,     6.62, 2.09216E-011,   -63.37
Transformer.T_FP2914,    5.51241,   -25.02,    5.51241,  -145.02,    5.51241,    94.98, 4.05451E-006,  -173.29, 2.96013E-012,   -61.47,    200.187,   154.98,    200.187,    34.98,    200.187,   -85.02, 0.000147243,     6.71, 1.05757E-010,   -62.88
Transformer.T_FT6829,    1.10039,   -25.03,    1.10039,  -145.03,    1.10039,    94.97, 8.18011E-007,  -173.15, 5.94907E-013,   -60.68,    39.9615,   154.97,    39.9615,    34.97,    39.9615,   -85.03, 2.97067E-005,     6.85, 2.1532E-011,   -63.16
Transformer.T_FP7255,    18.7509,   -26.64,    18.7509,  -146.64,    18.7509,    93.36, 7.18237E-006,  -177.92, 2.1481E-012,   -63.27,    680.953,   153.36,    680.952,    33.36,    680.953,   -86.64, 0.000260833,     2.08, 7.47074E-011,   -65.93
Transformer.T_FT1679,   0.506873,   -24.85,   0.506873,  -144.85,   0.506873,    95.15, 2.69395E-007,  -174.71, 1.93062E-013,   -62.61,    18.4075,   155.15,    18.4075,    35.15,    18.4075,   -84.85, 9.7833E-006,     5.29, 7.19429E-012,   -63.74
Transformer.T_FP7380,    5.49295,   -25.04,    5.49295,  -145.04,    5.49295,    94.96, 4.1363E-006,  -172.31, 3.01595E-012,   -60.66,    199.481,   154.96,    199.481,    34.96,    199.481,   -85.04, 0.000150213,     7.69, 1.08029E-010,   -61.87
Transformer.T_FX9287,    0.36875,   -25.00,    0.36875,  -145.00,    0.36875,    95.00, 2.71725E-007,  -173.01, 1.99929E-013,   -61.33,    13.3915,   155.00,    13.3914,    35.00,    13.3915,   -85.00, 9.86792E-006,     6.99, 7.07344E-012,   -63.38
Transformer.T_FT1683,   0.383144,   -24.81,   0.383144,  -144.81,   0.383144,    95.19, 1.82678E-007,  -174.88, 1.29187E-013,   -61.23,    13.9142,   155.19,    13.9142,    35.19,    13.9142,   -84.81, 6.63411E-006,     5.12, 4.75382E-012,   -63.74
Transformer.T_FT6812,    5.49493,   -25.04,    5.49493,  -145.04,    5.49493,    94.96, 4.09266E-006,  -172.90, 2.97381E-012,   -60.99,    199.553,   154.96,    199.552,    34.96,    199.553,   -85.04, 0.000148628,     7.10, 1.07595E-010,   -62.57
Transformer.T_FZ6330,   0.366813,   -25.03,   0.366813,  -145.03,   0.366813,    94.97, 2.69383E-007,  -173.56, 1.97857E-013,   -62.17,    13.3211,   154.97,    13.3211,    34.97,    13.3211,   -85.03, 9.78286E-006,     6.44, 6.97811E-012,   -63.38
