Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L_CEI_MT_171959, 1.67897E-009,    33.69, 3.12375E-009,    26.57, 1.86265E-009,     0.00,          0,     0.00, 6.48591E-009,    21.04, 1.67897E-009,  -146.31, 1.47255E-009,  -108.43, 2.9451E-009,  -108.43,          0,     0.00, 5.83472E-009,  -118.61
Line.L_CEI_MT_171960, 6.58545E-010,    45.00, 3.25963E-009,     0.00, 9.31323E-010,   180.00,          0,     0.00, 2.83251E-009,     9.46, 1.39698E-009,   180.00, 1.86265E-009,     0.00, 1.31709E-009,   -45.00,          0,     0.00, 1.67897E-009,   -33.69
Line.L_CEI_MT_171961, 1.67897E-009,   123.69,          0,     0.00,          0,     0.00,          0,     0.00, 1.67897E-009,   123.69, 9.31323E-010,     0.00, 1.47255E-009,  -161.57, 1.04125E-009,  -116.57,          0,     0.00, 1.67897E-009,  -123.69
Line.L_CEI_MT_171965, 1.43583E-006,   144.08, 3.1099E-006,   166.65, 3.44506E-006,    81.35,          0,     0.00, 6.17538E-006,   126.47, 1.43713E-006,   -35.93, 3.10649E-006,   -13.38, 3.4442E-006,   -98.66,          0,     0.00, 6.17419E-006,   -53.56
Line.L_CEI_MT_171966, 1.4359E-006,   -35.99, 3.1071E-006,   -13.32, 3.44222E-006,   -98.65,          0,     0.00, 6.17072E-006,   -53.53, 1.4359E-006,   144.01, 3.10915E-006,   166.71, 3.4413E-006,    81.35,          0,     0.00, 6.17061E-006,   126.49
Line.L_CEI_MT_171967, 1.43446E-006,   -36.10, 3.10462E-006,   -13.31, 3.44009E-006,   -98.73,          0,     0.00, 6.16332E-006,   -53.59, 1.43446E-006,   143.90, 3.10451E-006,   166.70, 3.44102E-006,    81.27,          0,     0.00, 6.16369E-006,   126.41
Line.L_CEI_MT_171969, 1.04125E-009,   -63.43, 6.58545E-010,   -45.00, 1.67897E-009,  -146.31,          0,     0.00, 2.37442E-009,  -101.31, 2.9451E-009,   108.43, 1.67897E-009,    56.31, 2.9451E-009,    71.57,          0,     0.00, 7.04673E-009,    82.41
Line.L_CEI_MT_171976, 4.00577E-009,   -54.46, 1.67897E-009,  -123.69, 5.75991E-009,   -75.96,          0,     0.00, 1.06187E-008,   -74.74, 3.35793E-009,   123.69, 9.31323E-010,    90.00, 6.58545E-009,    98.13,          0,     0.00, 1.06187E-008,   105.26
Line.L_CEI_MT_171977, 1.67897E-009,   123.69, 1.04125E-009,    26.57, 2.79397E-009,    90.00,          0,     0.00, 4.65661E-009,    90.00, 3.75428E-009,   -82.87, 1.86265E-009,   180.00, 1.91997E-009,  -104.04,          0,     0.00, 5.8902E-009,  -108.43
Line.L_CEI_MT_171978, 1.67897E-009,   -56.31, 9.31323E-010,   -90.00, 3.35793E-009,  -123.69,          0,     0.00, 5.20625E-009,  -100.30, 1.91997E-009,   104.04, 2.63418E-009,    45.00, 2.0825E-009,    63.43,          0,     0.00, 6.0536E-009,    67.38
Line.L_CEI_MT_171981,    11.5117,   138.42,    11.5117,    18.42,    11.5117,  -101.58,          0,     0.00, 8.04364E-007,   160.27,    11.5117,   -41.58,    11.5117,  -161.58,    11.5117,    78.42,          0,     0.00, 8.03173E-007,   -19.69
Line.L_CEI_MT_171986, 2.32831E-009,    36.87, 2.98169E-009,    38.66, 2.9451E-009,   108.43,          0,     0.00, 6.87541E-009,    61.70, 2.32831E-009,  -143.13, 1.04125E-009,   153.43, 1.86265E-009,   -90.00,          0,     0.00, 3.95127E-009,  -135.00
Line.L_CEI_MT_171987,    11.5117,   138.42,    11.5117,    18.42,    11.5117,  -101.58,          0,     0.00, 8.07659E-007,   160.11,    11.5117,   -41.58,    11.5117,  -161.58,    11.5117,    78.42,          0,     0.00, 8.07185E-007,   -19.79
Line.L_CEI_MT_171988,    11.5117,   -41.58,    11.5117,  -161.58,    11.5117,    78.42,          0,     0.00, 8.09598E-007,   -19.49,    11.5117,   138.42,    11.5117,    18.42,    11.5117,  -101.58,          0,     0.00, 8.0797E-007,   160.54
Line.L_CEI_MT_171992,    11.5117,   138.42,    11.5117,    18.42,    11.5117,  -101.58,          0,     0.00, 8.02488E-007,   160.16,    11.5117,   -41.58,    11.5117,  -161.58,    11.5117,    78.42,          0,     0.00, 8.0396E-007,   -19.84
